date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:37	2652/2652	---M-Z	200	added ('OK')	application/javascript	etag:%22a5c-574d84aaa8380-gzip%22	https://preview.colorlib.com/theme/hospice/js/custom.js	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/js/custom.js	(from https://preview.colorlib.com/theme/hospice/index.html)
14:06:38	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22da0c-574d85dfa5c80%22	https://preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free.eot?w118d	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free54e9.eot	(from https://preview.colorlib.com/theme/hospice/vendors/linericon/style.css)
14:06:38	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22da0c-574d85dfa5c80%22	https://preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free.eot?	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Freed41d.eot	(from https://preview.colorlib.com/theme/hospice/vendors/linericon/style.css)
14:06:41	21780/21780	---M--	200	added ('OK')	font/woff2	etag:%225514-574d85e92f300%22	https://preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free.woff2?w118d	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free54e9.woff2	(from https://preview.colorlib.com/theme/hospice/vendors/linericon/style.css)
14:06:42	55696/55696	---M--	200	added ('OK')	font/woff	etag:%22d990-574d85e746e80%22	https://preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free.woff?w118d	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free54e9.woff	(from https://preview.colorlib.com/theme/hospice/vendors/linericon/style.css)
14:06:44	205847/205847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2232417-574d85e746e80%22	https://preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free.svg?w118d	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free54e9.svg	(from https://preview.colorlib.com/theme/hospice/vendors/linericon/style.css)
14:06:44	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2212ae6-574d847bed540%22	https://preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont.eot?v=4.5.0	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont3295.eot	(from https://preview.colorlib.com/theme/hospice/css/font-awesome.min.css)
14:06:44	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2212ae6-574d847bed540%22	https://preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont.eot?	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/fonts/fontawesome-webfontd41d.eot	(from https://preview.colorlib.com/theme/hospice/css/font-awesome.min.css)
14:06:45	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%22118d8-574d8480b2080%22	https://preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont3295.woff2	(from https://preview.colorlib.com/theme/hospice/css/font-awesome.min.css)
14:06:45	90412/90412	---M--	200	added ('OK')	font/woff	etag:%221612c-574d8480b2080%22	https://preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont.woff?v=4.5.0	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont3295.woff	(from https://preview.colorlib.com/theme/hospice/css/font-awesome.min.css)
